ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
13,GEORGIA,GA,Carroll,13045,"Carroll County, Georgia",499.0275164,116022,0,45253,211,41150,609,21088,1926,4380,671,24155,962,11868,903,15152,146,27861,0,16877,1004,4210,572,34072,348,1539,386,2159,394,5088,610,758,236,2185,399,3479,535,18.8,1.7,7.9,1.2,24155.0,962.0,16.3,1.2,13.1,0.1,24.0,0.0,14.7,0.9,10.2,1.4,29.4,0.3,1.4,0.4,4.8,0.9,11.2,1.4,1.8,0.6,5.3,1.0,3.0,0.5,0.3734,0.6962,0.3228,0.3481,1.7405,0.3418,0.1709,0.5823,0.3165,0.5633,1.633,0.2722,0.3354,0.6013,0.9367,0.4177,0.8165,0.2278,0.3165,0.3101,0.6392,2.3101,0.3861,6.6203,0.3228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14058,1380,12.2,1.2,107927
13,GEORGIA,GA,Jasper,13159,"Jasper County, Georgia",368.4078577,13784,0,6385,47,5087,211,2415,422,375,136,19999,1134,2015,242,2324,48,3296,51,2404,306,343,101,3600,21,96,93,17,21,1333,203,172,105,291,113,89,91,17.8,3.1,6.6,2.3,19999.0,1134.0,21.4,2.5,16.9,0.3,23.9,0.4,17.6,2.2,6.7,2.0,26.1,0.2,0.7,0.7,0.3,0.3,20.9,3.2,3.4,2.1,5.7,2.2,0.6,0.7,0.3354,0.481,0.7468,0.7342,2.2974,0.6203,0.5823,0.5633,0.6582,0.1519,1.9557,0.4937,0.2278,0.3228,0.5506,0.1646,0.0696,0.4747,0.8671,0.3671,0.1203,1.8988,0.2468,6.7025,0.3291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,302,13.7,2.2,9857
13,GEORGIA,GA,Glynn,13127,"Glynn County, Georgia",419.5507097,83974,0,42682,129,33777,620,15105,1461,2222,376,31493,1868,7039,675,15794,148,18920,57,13028,970,3555,479,30520,140,1275,317,3627,460,4297,513,679,222,2201,341,1465,270,18.3,1.8,5.4,0.9,31493.0,1868.0,12.1,1.2,18.8,0.2,22.5,0.1,15.7,1.2,10.5,1.4,36.3,0.2,1.6,0.4,8.5,1.1,10.1,1.2,2.0,0.7,6.5,1.0,1.7,0.3,0.3608,0.3101,0.0823,0.1519,0.9051,0.1456,0.7785,0.3987,0.4367,0.5949,2.2088,0.6392,0.462,0.6772,1.1392,0.6329,0.9241,0.1899,0.4241,0.4494,0.4747,2.4622,0.4367,6.7153,0.3354,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11732,1010,14.1,1.2,84160
13,GEORGIA,GA,Glascock,13125,"Glascock County, Georgia",143.7454835,3009,0,1526,37,1105,79,536,207,47,30,21076,2325,467,102,513,15,704,21,402,70,90,48,381,13,13,51,8,14,647,84,57,30,68,29,83,83,18.3,7.1,3.3,2.1,21076.0,2325.0,22.6,4.9,17.0,0.5,23.4,0.7,13.7,2.3,8.1,4.3,12.7,0.4,0.5,1.8,0.5,1.0,42.4,5.5,5.2,2.7,6.2,2.5,2.8,2.8,0.3608,0.019,0.6266,0.7975,1.8039,0.3924,0.6076,0.519,0.2215,0.2595,1.6076,0.2278,0.0759,0.2278,0.3037,0.0696,0.1519,0.9557,0.962,0.3987,0.6139,3.0822,0.8101,6.7974,0.3418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,243,65,8.3,2.2,2106
13,GEORGIA,GA,Bleckley,13023,"Bleckley County, Georgia",215.869927,12775,0,5318,97,4168,229,2347,431,336,138,18519,1416,975,176,2148,95,2794,64,2086,342,349,139,3986,21,59,84,66,58,1234,191,35,22,264,109,1469,255,20.8,3.8,7.4,3.0,18519.0,1416.0,12.4,2.2,16.8,0.7,21.9,0.5,16.8,2.7,8.4,3.3,31.2,0.2,0.5,0.7,1.2,1.1,23.2,3.6,0.8,0.5,6.3,2.6,11.5,2.0,0.481,0.5949,0.8861,0.1646,2.1266,0.5127,0.557,0.3418,0.5823,0.3101,1.7912,0.3481,0.3608,0.2278,0.5886,0.2152,0.3544,0.538,0.0696,0.4241,0.9304,2.3165,0.3924,6.8229,0.3481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1295,288,10.4,2.3,12019
13,GEORGIA,GA,Miller,13201,"Miller County, Georgia",282.4227195,5836,0,2766,44,2300,129,1301,331,125,58,21746,1886,744,142,1244,34,1339,0,738,144,198,61,1855,19,0,76,9,22,614,105,146,55,176,69,179,98,23.0,5.8,5.0,2.3,21746.0,1886.0,17.7,3.4,21.3,0.6,22.9,0.0,13.0,2.5,8.6,2.6,31.8,0.3,0.0,1.4,0.3,0.8,22.2,3.8,6.3,2.4,7.7,2.9,3.1,1.7,0.6076,0.2405,0.5443,0.481,1.8734,0.4241,0.8797,0.4304,0.1709,0.3418,1.8228,0.3671,0.3734,0.0,0.3734,0.0886,0.0696,0.5127,0.981,0.5443,0.6519,2.7595,0.5696,6.8291,0.3544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,832,163,14.7,2.9,4648
13,GEORGIA,GA,Chatham,13051,"Chatham County, Georgia",433.1230066,287049,0,124300,265,108151,1182,43183,2011,11867,961,30664,715,19951,1040,41403,50,62468,0,39030,1401,12502,796,146806,173,3727,631,14567,980,5266,596,1967,357,8968,563,12316,613,15.8,0.7,8.0,0.7,30664.0,715.0,10.4,0.5,14.4,0.1,21.8,0.0,14.0,0.5,11.6,0.7,51.1,0.1,1.4,0.2,11.7,0.8,4.2,0.5,1.8,0.3,8.3,0.5,4.3,0.2,0.2595,0.7278,0.0949,0.1013,1.1835,0.2342,0.2595,0.3291,0.2405,0.6962,1.5253,0.1962,0.7975,0.6013,1.3988,0.8038,0.9557,0.0886,0.3165,0.6266,0.7342,2.7216,0.5506,6.8292,0.3608,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,40609,1839,14.5,0.7,297087
13,GEORGIA,GA,Crawford,13079,"Crawford County, Georgia",324.913323,12344,0,5353,42,4637,203,2398,447,496,181,21102,1541,1447,259,2186,0,2619,0,2107,286,377,140,3276,21,4,81,22,16,2147,203,120,75,278,107,174,96,19.7,3.7,9.6,3.4,21102.0,1541.0,16.5,3.0,17.7,0.0,21.2,0.0,17.3,2.4,8.1,3.0,26.5,0.2,0.0,0.7,0.4,0.3,40.1,3.8,2.6,1.6,6.0,2.3,1.4,0.8,0.4177,0.8734,0.6203,0.3734,2.2848,0.6139,0.6772,0.2848,0.6266,0.2595,1.8481,0.4051,0.2405,0.0,0.2405,0.0443,0.1013,0.9367,0.6456,0.3924,0.4241,2.5001,0.443,6.8735,0.3671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1647,357,13.5,2.9,7518
13,GEORGIA,GA,Hall,13139,"Hall County, Georgia",392.9838902,195961,0,71903,108,63931,684,28319,2141,3525,456,27625,673,27479,1038,27758,43,50951,0,21538,1030,5853,518,76188,118,15196,1167,5997,527,7637,529,3480,424,3336,421,1825,214,14.6,1.1,3.7,0.5,27625.0,673.0,21.6,0.8,14.2,0.1,26.0,0.0,11.0,0.5,9.2,0.8,38.9,0.1,8.3,0.6,8.3,0.7,10.6,0.7,5.4,0.7,5.2,0.6,0.9,0.1,0.1962,0.0443,0.1709,0.7405,1.1519,0.2278,0.2405,0.8608,0.1013,0.4367,1.6393,0.2785,0.519,0.9747,1.4937,0.8608,0.9177,0.2089,0.9684,0.3038,0.2215,2.6203,0.5,6.9052,0.3734,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,33988,1664,17.4,0.8,181090
13,GEORGIA,GA,Worth,13321,"Worth County, Georgia",570.7119176,20656,0,9329,54,8038,221,4253,580,609,174,23517,1764,2659,385,3744,53,4802,62,3578,353,1007,189,6756,127,95,129,135,100,2997,305,50,30,517,177,157,104,20.8,2.8,6.5,1.8,23517.0,1764.0,18.7,2.7,18.1,0.3,23.2,0.3,17.5,1.7,12.5,2.3,32.7,0.6,0.5,0.7,1.4,1.1,32.1,3.3,0.6,0.4,6.4,2.2,0.8,0.5,0.481,0.4684,0.3608,0.557,1.8672,0.4177,0.7089,0.462,0.6519,0.8038,2.6266,0.9051,0.3861,0.2278,0.6139,0.2342,0.3924,0.7532,0.0253,0.443,0.1899,1.8038,0.1962,6.9115,0.3797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3608,528,17.6,2.6,14166
13,GEORGIA,GA,Habersham,13137,"Habersham County, Georgia",276.8274965,44289,0,18365,174,15195,415,6041,833,748,233,22018,826,6464,533,8067,138,10043,50,6974,609,899,209,9991,234,2011,338,255,99,3143,353,373,148,817,196,2570,473,14.5,2.0,4.0,1.2,22018.0,826.0,21.8,1.8,18.2,0.3,22.7,0.1,16.5,1.4,5.9,1.4,22.6,0.5,4.8,0.8,1.4,0.5,17.1,1.9,2.5,1.0,5.4,1.2,5.8,1.1,0.1899,0.0696,0.5253,0.7532,1.538,0.3038,0.7342,0.4241,0.5316,0.0823,1.7722,0.3354,0.1962,0.9304,1.1266,0.6076,0.3924,0.3671,0.6266,0.3418,0.7911,2.519,0.462,6.9558,0.3861,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7336,672,17.3,1.6,42017
13,GEORGIA,GA,Brantley,13025,"Brantley County, Georgia",443.0125406,18561,0,8119,39,6564,311,4440,1065,414,156,18904,1321,2510,396,2853,44,4482,0,3983,556,558,203,1399,19,52,81,19,18,4451,331,189,120,245,129,73,82,24.1,5.8,5.8,2.0,18904.0,1321.0,20.0,3.1,15.4,0.2,24.1,0.0,21.6,3.0,8.5,3.1,7.5,0.1,0.3,0.5,0.2,0.2,54.8,4.0,2.9,1.8,3.7,1.9,0.4,0.4,0.6835,0.3608,0.8418,0.6392,2.5253,0.7152,0.3861,0.6139,0.9684,0.3291,2.2975,0.7215,0.0316,0.1519,0.1835,0.019,0.038,0.9937,0.7215,0.1392,0.0696,1.962,0.2785,6.9683,0.3924,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,3531,755,19.1,4.1,13846
13,GEORGIA,GA,DeKalb,13089,"DeKalb County, Georgia",267.7254214,743187,0,309668,334,277757,1421,120880,4529,29826,1416,34100,422,55530,2017,85571,91,174266,26,76267,2259,30105,1254,526966,334,34243,1836,70625,1834,1493,302,6785,676,24274,1075,13018,700,16.6,0.6,7.4,0.4,34100.0,422.0,11.0,0.4,11.5,0.1,23.4,0.0,10.3,0.3,10.8,0.4,70.9,0.0,5.0,0.3,22.8,0.6,0.5,0.1,2.4,0.2,8.7,0.4,1.8,0.1,0.2911,0.5949,0.057,0.1139,1.0569,0.2025,0.0949,0.519,0.057,0.6266,1.2975,0.0886,0.9747,0.943,1.9177,0.9873,0.9937,0.0,0.5696,0.6646,0.4937,2.7216,0.5506,6.9937,0.3987,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,3,109283,3472,14.8,0.5,626239
13,GEORGIA,GA,Butts,13035,"Butts County, Georgia",183.6898725,23750,0,9382,96,8157,278,4985,970,530,154,22360,2479,3479,375,3579,74,4919,102,3325,484,797,246,7906,44,74,98,126,110,1281,259,232,116,539,200,2788,237,23.8,4.6,5.6,1.6,22360.0,2479.0,20.8,2.2,15.1,0.3,20.7,0.4,15.8,2.3,9.8,3.0,33.3,0.2,0.3,0.4,1.3,1.2,13.7,2.8,2.8,1.4,6.6,2.4,11.7,1.0,0.6519,0.3354,0.481,0.6962,2.1645,0.5506,0.3354,0.2215,0.4557,0.5,1.5126,0.1835,0.4051,0.1519,0.557,0.1709,0.3861,0.2911,0.6835,0.4684,0.9367,2.7658,0.5759,6.9999,0.4051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2183,503,10.4,2.4,19555
13,GEORGIA,GA,Newton,13217,"Newton County, Georgia",273.7490759,106497,0,38978,92,36626,483,18822,2136,3928,620,24426,928,9646,918,13118,171,28407,166,16118,940,4527,586,55789,38,799,315,1454,335,2141,375,762,241,1987,420,1329,223,17.9,2.0,7.7,1.2,24426.0,928.0,14.2,1.4,12.3,0.2,26.7,0.2,15.3,0.9,12.4,1.6,52.4,0.0,0.8,0.3,3.7,0.9,5.5,1.0,2.1,0.7,5.4,1.1,1.2,0.2,0.3481,0.6519,0.3038,0.2468,1.5506,0.3165,0.1329,0.9177,0.3924,0.7848,2.2278,0.6519,0.8038,0.4177,1.2215,0.7342,0.7658,0.1203,0.4873,0.3418,0.3608,2.076,0.3101,7.0759,0.4114,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,12962,1418,12.3,1.3,80290
13,GEORGIA,GA,Heard,13149,"Heard County, Georgia",296.0014898,11677,0,5187,41,4489,162,1787,405,412,117,21796,1325,1665,245,1886,48,2721,58,2236,324,315,91,1767,21,91,100,63,37,1630,189,129,80,245,85,148,81,15.6,3.6,7.7,2.2,21796.0,1325.0,20.7,3.0,16.2,0.4,23.3,0.5,19.4,2.8,7.0,2.0,15.1,0.2,0.8,0.9,1.2,0.7,31.4,3.6,2.9,1.8,5.5,1.9,1.3,0.7,0.2468,0.6519,0.538,0.6835,2.1202,0.5063,0.462,0.4873,0.8481,0.1646,1.962,0.5,0.1076,0.4177,0.5253,0.1392,0.3544,0.7215,0.7215,0.3608,0.4051,2.5633,0.4873,7.1708,0.4177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448,321,12.6,2.8,8193
13,GEORGIA,GA,Murray,13213,"Murray County, Georgia",344.4937759,39557,0,16061,67,14081,333,6017,918,1437,316,20618,1219,8051,563,5575,93,9927,14,5692,512,1179,257,6770,7,1116,256,70,47,5564,369,458,170,578,168,230,172,15.4,2.4,7.8,1.7,20618.0,1219.0,30.7,2.1,14.1,0.2,25.1,0.0,14.5,1.3,8.4,1.8,17.1,0.0,3.0,0.7,0.4,0.3,34.6,2.3,3.3,1.2,4.1,1.2,0.6,0.4,0.2342,0.6772,0.6772,0.9873,2.5759,0.7468,0.2278,0.7468,0.2911,0.3101,1.5758,0.2089,0.1329,0.8608,0.9937,0.4747,0.1013,0.8354,0.8544,0.1646,0.1203,2.076,0.3101,7.2214,0.4241,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6658,950,16.9,2.4,33567
