ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
24,MARYLAND,MD,Montgomery,24031,"Montgomery County, Maryland",493.0753332,1040133,0,388254,423,370227,1452,71153,3473,28775,1307,52828,498,62517,1984,151809,31,243609,38,82759,1894,28290,1240,577715,641,62058,2322,105240,1447,534,152,11957,773,28245,1095,8847,618,6.9,0.3,4.9,0.2,52828.0,498.0,8.7,0.3,14.6,0.1,23.4,0.0,8.0,0.2,7.6,0.3,55.5,0.1,6.4,0.2,27.1,0.4,0.1,0.1,3.2,0.2,7.6,0.3,0.9,0.1,0.2609,0.4783,0.0,0.3478,1.087,0.3043,0.3478,0.7391,0.0435,0.3043,1.4347,0.1304,0.8696,1.0,1.8696,0.9565,0.9565,0.0,0.913,0.6087,0.1304,2.6086,0.4783,6.9999,0.4783,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,76522,2610,7.4,0.3,839826
24,MARYLAND,MD,Worcester,24047,"Worcester County, Maryland",468.288391,51564,0,56169,83,21672,510,4742,508,1349,201,35666,1579,3579,415,13839,102,8990,5,7690,523,1355,204,10272,44,257,139,19271,683,3747,366,306,105,1319,210,812,170,9.3,1.0,5.3,0.8,35666.0,1579.0,9.1,1.1,26.8,0.2,17.4,0.0,15.1,1.0,6.3,0.9,19.9,0.1,0.5,0.3,34.3,1.2,6.7,0.6,1.4,0.5,6.1,0.9,1.6,0.3,0.5217,0.6087,0.5652,0.4348,2.1304,0.5217,0.9565,0.087,0.7826,0.087,1.9131,0.3913,0.2174,0.1304,0.3478,0.1304,1.0,0.913,0.5217,0.4783,0.3913,3.3043,0.7826,7.6956,0.5217,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,2,3,2986,456,5.9,0.9,53414
24,MARYLAND,MD,Kent,24029,"Kent County, Maryland",277.0345325,19593,0,10675,109,7910,255,2210,404,425,115,34910,2253,1672,263,5044,56,3142,34,2714,329,617,156,4345,61,277,127,631,132,315,101,20,20,947,193,1654,240,12.3,2.2,4.4,1.2,34910.0,2253.0,12.0,1.9,25.7,0.3,16.0,0.2,14.1,1.7,7.8,2.0,22.2,0.3,1.5,0.7,5.9,1.2,3.0,0.9,0.3,0.3,12.0,2.4,8.4,1.2,0.6957,0.3043,0.6087,0.7391,2.3478,0.6087,0.913,0.0,0.6522,0.3913,1.9565,0.4348,0.3478,0.5217,0.8695,0.4348,0.3043,0.5217,0.0,0.9565,0.913,2.6955,0.5652,7.8693,0.5652,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,3,1040,251,5.4,1.3,18747
24,MARYLAND,MD,Cecil,24015,"Cecil County, Maryland",346.278461,102517,0,42608,135,36930,609,9525,1168,2983,439,32976,925,7768,769,15234,95,23584,83,13742,869,3016,379,14940,47,755,228,2575,330,2556,328,813,222,2118,362,1476,299,9.4,1.2,5.6,0.8,32976.0,925.0,11.0,1.1,14.9,0.1,23.0,0.1,13.5,0.9,8.2,1.0,14.6,0.0,0.8,0.2,6.0,0.8,6.0,0.8,2.2,0.6,5.7,1.0,1.4,0.3,0.5652,0.6522,0.6522,0.6522,2.5218,0.6522,0.3913,0.6957,0.5652,0.4783,2.1305,0.6522,0.1739,0.3043,0.4782,0.2174,0.3913,0.8696,0.8261,0.4348,0.2609,2.7827,0.6522,7.9132,0.6087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4596,626,4.5,0.6,83937
24,MARYLAND,MD,Baltimore,24005,"Baltimore County, Maryland",598.3575069,827625,0,336554,424,312913,1531,74571,3639,23050,1240,38580,440,50831,1800,136329,25,178754,0,95506,2020,28666,1084,347110,336,18651,1299,63716,1456,2615,274,5135,562,23861,1081,20417,1032,9.2,0.4,5.2,0.3,38580.0,440.0,8.9,0.3,16.5,0.1,21.6,0.0,11.7,0.2,9.2,0.3,41.9,0.0,2.4,0.2,18.9,0.4,0.8,0.1,1.6,0.2,7.6,0.3,2.5,0.1,0.4783,0.5217,0.4783,0.3913,1.8696,0.4783,0.6957,0.3478,0.4783,0.6522,2.174,0.7391,0.7391,0.8261,1.5652,0.8261,0.8696,0.1304,0.6087,0.6087,0.6522,2.8696,0.6957,8.4784,0.6522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46297,2026,5.6,0.2,754223
24,MARYLAND,MD,Allegany,24001,"Allegany County, Maryland",422.1862771,71977,0,32962,193,27837,467,10558,867,2685,366,23280,664,5043,460,14112,71,12610,13,12298,683,2163,276,9283,65,257,145,1692,205,1262,181,375,150,2769,324,7928,433,16.4,1.3,8.5,1.2,23280.0,664.0,10.0,0.9,19.6,0.1,17.5,0.0,18.5,1.0,7.8,1.0,12.9,0.1,0.4,0.2,5.1,0.6,3.8,0.5,1.3,0.5,9.9,1.1,11.0,0.6,0.913,0.913,0.9565,0.5217,3.3042,0.913,0.7826,0.1304,1.0,0.3913,2.3043,0.8696,0.087,0.0435,0.1305,0.0435,0.2174,0.6522,0.4348,0.8261,0.9565,3.087,0.7391,8.826,0.6957,1,1,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,5,3170,428,4.8,0.6,72363
24,MARYLAND,MD,Prince George's,24033,"Prince George's County, Maryland",482.6513233,906202,0,331272,292,308849,1219,78590,3214,34528,1343,35869,297,82288,1880,111152,61,203610,52,84668,2097,35013,1231,788701,328,52698,1756,75088,1430,1431,232,12083,762,26911,1075,18714,772,8.9,0.4,6.7,0.3,35869.0,297.0,13.5,0.3,12.3,0.1,22.5,0.0,9.4,0.2,11.3,0.4,87.0,0.0,6.2,0.2,22.7,0.4,0.4,0.1,3.9,0.2,8.7,0.3,2.1,0.1,0.4348,0.7826,0.5217,0.8696,2.6087,0.6957,0.0435,0.6087,0.1304,0.8261,1.6087,0.2174,1.0,0.9565,1.9565,1.0,0.913,0.087,1.0,0.7826,0.5217,3.3043,0.7826,9.4782,0.7391,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,97006,2463,10.8,0.3,697779
24,MARYLAND,MD,Washington,24043,"Washington County, Maryland",457.7670528,149811,0,61388,176,55864,621,17902,1497,4691,502,29802,757,13723,824,24625,112,33135,28,22335,1018,5349,549,30473,56,1233,278,5304,452,2096,277,1023,264,4591,393,8885,434,12.7,1.1,6.5,0.7,29802.0,757.0,13.1,0.8,16.4,0.1,22.1,0.0,15.8,0.7,9.6,1.0,20.3,0.0,0.9,0.2,8.6,0.7,3.4,0.5,1.8,0.5,8.2,0.7,5.9,0.3,0.7391,0.7391,0.7391,0.7826,2.9999,0.7391,0.6522,0.4783,0.8696,0.6957,2.6958,0.913,0.2609,0.3478,0.6087,0.3043,0.5217,0.6087,0.6957,0.7391,0.8696,3.4348,0.913,9.7392,0.7826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8744,1008,6.2,0.7,145308
24,MARYLAND,MD,Caroline,24011,"Caroline County, Maryland",319.4415874,32875,0,13581,75,12081,233,4754,620,887,184,27866,1246,3611,329,5211,51,7814,20,4804,417,1445,211,7900,31,514,196,180,90,738,134,287,92,759,145,509,189,14.7,1.9,5.2,1.1,27866.0,1246.0,16.1,1.5,15.9,0.2,23.8,0.1,14.8,1.3,12.0,1.7,24.0,0.1,1.7,0.6,1.3,0.7,5.4,1.0,2.4,0.8,6.3,1.2,1.5,0.6,0.7826,0.5217,0.8696,0.9565,3.1304,0.7826,0.5652,0.8696,0.7391,0.913,3.0869,1.0,0.4783,0.6957,1.174,0.5217,0.0,0.7826,0.8696,0.5217,0.3043,2.4782,0.3913,9.8695,0.8261,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2073,314,6.4,1.0,25317
24,MARYLAND,MD,Dorchester,24019,"Dorchester County, Maryland",540.7554163,32261,0,16741,95,13264,309,5017,595,1307,265,30135,1619,3039,384,6617,51,6852,45,5562,430,1566,214,11824,35,467,138,933,196,921,168,150,77,1427,246,581,212,15.8,1.9,7.9,1.5,30135.0,1619.0,13.1,1.6,20.5,0.2,21.2,0.1,17.5,1.3,11.8,1.6,36.7,0.1,1.5,0.5,5.6,1.2,5.5,1.0,1.1,0.6,10.8,1.8,1.8,0.7,0.8696,0.8696,0.6957,0.7826,3.2175,0.8261,0.8261,0.3043,0.9565,0.8696,2.9565,0.9565,0.6957,0.5217,1.2174,0.5652,0.2609,0.8261,0.2174,0.8696,0.4348,2.6088,0.5217,10.0002,0.8696,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1760,288,5.5,0.9,27975
24,MARYLAND,MD,Wicomico,24045,"Wicomico County, Maryland",374.41904,102172,0,42332,141,37637,476,14944,1515,4062,480,27622,783,7633,682,15479,103,22504,59,11626,734,4193,515,37390,87,2893,500,5151,495,1841,308,1328,264,3065,433,4102,333,15.2,1.5,7.6,0.9,27622.0,783.0,11.9,1.1,15.1,0.1,22.0,0.1,11.5,0.7,11.1,1.4,36.6,0.1,3.0,0.5,12.2,1.2,4.3,0.7,3.5,0.7,8.1,1.1,4.0,0.3,0.8261,0.8261,0.913,0.6957,3.2609,0.8696,0.4348,0.4348,0.4348,0.7391,2.0435,0.5217,0.6522,0.8696,1.5218,0.7826,0.6957,0.6957,0.9565,0.6957,0.8261,3.8697,1.0,10.6959,0.913,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,7005,776,6.9,0.8,102326
24,MARYLAND,MD,Baltimore City,24510,"Baltimore city, Maryland",80.9459754,614700,0,294522,463,238436,1698,128829,3788,27963,1208,29700,385,64129,1762,80846,83,128219,57,91516,1979,29373,1089,445415,302,10605,899,49551,1171,289,128,4932,537,68829,1673,23888,1064,21.8,0.6,9.1,0.4,29700.0,385.0,15.1,0.4,13.2,0.1,20.9,0.0,15.1,0.3,12.3,0.4,72.5,0.0,1.8,0.2,16.8,0.4,0.1,0.1,2.1,0.2,28.9,0.7,3.9,0.2,1.0,1.0,0.7826,0.913,3.6956,0.9565,0.1739,0.2609,0.7826,0.9565,2.1739,0.6957,0.9565,0.7391,1.6956,0.8696,0.7826,0.0,0.7826,1.0,0.7826,3.3478,0.8696,10.9129,0.9565,1,1,0,1,3,0,0,0,1,1,1,0,1,0,0,0,1,0,1,6,43720,2040,7.2,0.3,582275
24,MARYLAND,MD,Somerset,24039,"Somerset County, Maryland",319.748557,25737,0,11391,343,8383,390,3996,694,853,250,18924,1251,3087,315,4069,38,4364,75,3163,275,1043,207,12484,8,305,143,1143,318,1096,183,102,56,989,218,6091,795,20.4,3.3,8.9,2.6,18924.0,1251.0,18.1,1.8,15.8,0.1,17.0,0.3,14.6,1.4,12.4,2.4,48.5,0.0,1.2,0.6,10.0,2.8,9.6,1.6,1.2,0.7,11.8,2.6,23.7,3.1,0.9565,0.9565,1.0,1.0,3.913,1.0,0.5217,0.0435,0.6957,1.0,2.2609,0.7826,0.8261,0.4348,1.2609,0.6087,0.5652,1.0,0.2609,0.913,1.0,3.7391,0.9565,11.1739,1.0,1,1,1,1,4,0,0,0,1,1,0,0,0,0,1,0,1,1,3,8,1481,317,6.8,1.5,24333
