ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
09,CONNECTICUT,CT,Tolland,09013,"Tolland County, Connecticut",410.3520886,151269,0,59418,351,55232,657,9390,990,4453,521,39668,957,5215,515,22405,153,27005,0,15065,954,3500,386,22666,169,1100,273,4823,531,715,138,508,171,2484,400,15537,839,6.9,0.7,5.2,0.6,39668.0,957.0,5.4,0.5,14.8,0.1,17.9,0.0,10.1,0.6,6.3,0.7,15.0,0.1,0.8,0.2,8.1,0.9,1.2,0.2,0.9,0.3,4.5,0.7,10.3,0.6,0.0,0.1429,0.4286,0.0,0.5715,0.1429,0.0,0.0,0.1429,0.1429,0.2858,0.0,0.1429,0.0,0.1429,0.0,0.2857,0.7143,0.0,0.0,1.0,2.0,0.1429,3.0002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4553,627,3.1,0.4,111577
09,CONNECTICUT,CT,Litchfield,09005,"Litchfield County, Connecticut",920.5123234,183031,0,88153,268,73987,840,12650,1105,5379,542,42443,806,9986,571,36456,49,34394,0,19976,824,4365,402,20133,148,2483,383,4491,399,294,102,737,164,3942,389,3073,547,7.0,0.6,5.2,0.5,42443.0,806.0,7.4,0.4,19.9,0.1,18.8,0.0,11.0,0.4,5.9,0.5,11.0,0.1,1.4,0.2,5.1,0.5,0.3,0.1,1.0,0.2,5.3,0.5,1.7,0.3,0.2857,0.1429,0.2857,0.2857,1.0,0.2857,1.0,0.2857,0.4286,0.0,1.7143,0.4286,0.0,0.2857,0.2857,0.1429,0.1429,0.0,0.1429,0.1429,0.0,0.4287,0.0,3.4287,0.1429,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7637,864,4.2,0.5,140721
09,CONNECTICUT,CT,Middlesex,09007,"Middlesex County, Connecticut",369.3041514,163368,0,76124,228,66892,735,10909,1017,4384,488,45293,1010,6918,645,31052,96,30095,68,17458,938,4394,467,25672,119,1892,362,6819,472,823,158,692,178,3637,362,6000,518,6.9,0.6,4.7,0.5,45293.0,1010.0,5.8,0.5,19.0,0.1,18.4,0.0,10.8,0.6,6.6,0.7,15.7,0.1,1.2,0.2,9.0,0.6,1.1,0.2,1.0,0.3,5.4,0.5,3.7,0.3,0.0,0.0,0.1429,0.1429,0.2858,0.0,0.8571,0.1429,0.2857,0.2857,1.5714,0.1429,0.2857,0.1429,0.4286,0.2857,0.5714,0.5714,0.1429,0.2857,0.5714,2.1428,0.2857,4.4286,0.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5366,573,3.3,0.4,140896
09,CONNECTICUT,CT,Fairfield,09001,"Fairfield County, Connecticut",624.9645537,944348,0,370999,387,340491,1330,81751,3335,35545,1318,55613,700,64890,1759,143419,77,216907,75,86375,1829,27250,1163,355374,691,51621,1829,53019,1252,1310,265,9158,644,26098,917,18125,912,8.8,0.4,7.0,0.3,55613.0,700.0,10.1,0.3,15.2,0.1,23.0,0.0,9.2,0.2,8.0,0.3,37.6,0.1,5.8,0.2,14.3,0.3,0.4,0.1,2.7,0.2,7.7,0.3,1.9,0.1,0.4286,0.8571,0.0,0.7143,2.0,0.4286,0.1429,1.0,0.0,0.4286,1.5715,0.2857,0.8571,1.0,1.8571,0.8571,0.8571,0.1429,1.0,0.7143,0.1429,2.8572,0.5714,8.2858,0.4286,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,3,81118,3205,8.7,0.3,856843
09,CONNECTICUT,CT,New London,09011,"New London County, Connecticut",665.1443741,268881,0,123001,242,107402,932,26140,1615,8740,697,38109,661,15250,839,46320,40,53209,83,33086,1371,10188,715,64696,173,5658,647,10651,696,3149,376,1386,258,6618,548,12339,496,10.2,0.6,6.2,0.5,38109.0,661.0,8.1,0.4,17.2,0.1,19.8,0.0,12.9,0.5,9.5,0.7,24.1,0.1,2.2,0.3,8.7,0.6,2.6,0.3,1.3,0.2,6.2,0.5,4.6,0.2,0.5714,0.4286,0.7143,0.4286,2.1429,0.5714,0.7143,0.4286,0.8571,0.8571,2.8571,0.8571,0.5714,0.4286,1.0,0.4286,0.4286,0.8571,0.4286,0.4286,0.7143,2.8572,0.5714,8.8572,0.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10953,941,4.3,0.4,253113
09,CONNECTICUT,CT,Windham,09015,"Windham County, Connecticut",512.9281962,116538,0,49644,205,44449,585,11691,1264,3983,504,31106,686,9192,585,18257,96,23519,0,15708,830,4442,461,19743,92,2624,443,2134,278,1449,273,684,229,3160,369,5374,490,10.5,1.1,6.3,0.8,31106.0,686.0,11.4,0.7,15.7,0.1,20.2,0.0,13.7,0.7,10.0,1.0,16.9,0.1,2.4,0.4,4.3,0.6,2.9,0.5,1.5,0.5,7.1,0.8,4.6,0.4,0.7143,0.5714,1.0,1.0,3.2857,1.0,0.2857,0.5714,1.0,1.0,2.8571,0.8571,0.4286,0.5714,1.0,0.4286,0.0,1.0,0.5714,0.5714,0.7143,2.8571,0.4286,9.9999,0.7143,0,0,1,1,2,0,0,1,1,2,0,0,0,0,1,0,0,0,1,5,4513,603,3.9,0.5,94434
09,CONNECTICUT,CT,New Haven,09009,"New Haven County, Connecticut",604.5154099,859339,0,366266,404,329857,1775,98855,3436,32064,1230,36678,426,59205,1835,142411,4,176925,39,97095,2346,29717,1229,313219,493,27478,1523,52046,1524,1930,247,6135,596,38419,1337,28719,947,11.9,0.4,7.0,0.3,36678.0,426.0,9.9,0.3,16.6,0.1,20.6,0.0,11.4,0.3,9.0,0.4,36.4,0.1,3.4,0.2,14.2,0.4,0.5,0.1,1.9,0.2,11.6,0.4,3.3,0.1,1.0,0.8571,0.8571,0.5714,3.2856,0.8571,0.5714,0.7143,0.5714,0.5714,2.4285,0.5714,0.7143,0.7143,1.4286,0.7143,0.7143,0.2857,0.8571,1.0,0.4286,3.2857,1.0,10.4284,0.8571,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,44329,2381,5.2,0.3,748187
09,CONNECTICUT,CT,Hartford,09003,"Hartford County, Connecticut",734.9621057,894730,0,378700,422,349064,1488,97063,3396,31361,1143,39260,410,65170,1937,147260,45,190571,45,104288,2379,32584,1124,341305,408,36123,1511,54042,1312,2064,276,6100,513,36883,1210,25675,1023,11.1,0.4,6.5,0.2,39260.0,410.0,10.5,0.3,16.5,0.1,21.3,0.0,11.8,0.3,9.3,0.3,38.1,0.0,4.3,0.2,14.3,0.3,0.5,0.1,1.7,0.1,10.6,0.3,2.9,0.1,0.8571,0.7143,0.5714,0.8571,2.9999,0.7143,0.4286,0.8571,0.7143,0.7143,2.7143,0.7143,1.0,0.8571,1.8571,0.8571,0.8571,0.2857,0.7143,0.8571,0.2857,2.9999,0.8571,10.5712,1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,38340,1929,4.4,0.2,884502
